Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.2076032
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.807697
Afghanistan,AFG,Rule of Law: Number of Sources,RL.NO.SRC,10
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,2.403846
Afghanistan,AFG,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,0.9615384
Afghanistan,AFG,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,4.807693
Afghanistan,AFG,Rule of Law: Standard Error,RL.STD.ERR,0.1590236
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.083459
Afghanistan,AFG,Voice and Accountability: Number of Sources,VA.NO.SRC,9
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,19.32367
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,13.04348
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,23.18841
Afghanistan,AFG,Voice and Accountability: Standard Error,VA.STD.ERR,0.1312928
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.5401961
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,10
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,31.73077
Albania,ALB,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,24.03846
Albania,ALB,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,45.67308
Albania,ALB,Control of Corruption: Standard Error,CC.STD.ERR,0.1452865
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.1357432
Albania,ALB,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,48.07692
Albania,ALB,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,33.65385
Albania,ALB,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,62.01923
Albania,ALB,Government Effectiveness: Standard Error,GE.STD.ERR,0.2360006
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0839363
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,49.5283
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,36.79245
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,61.32076
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.2382714
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.2371311
Albania,ALB,Regulatory Quality: Number of Sources,RQ.NO.SRC,8
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,60.57692
Albania,ALB,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,49.51923
Albania,ALB,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,72.11539
Albania,ALB,Regulatory Quality: Standard Error,RQ.STD.ERR,0.200558
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.3582943
Albania,ALB,Rule of Law: Number of Sources,RL.NO.SRC,11
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,40.86538
Albania,ALB,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,29.80769
Albania,ALB,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,48.55769
Albania,ALB,Rule of Law: Standard Error,RL.STD.ERR,0.1402936
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.0873399
Albania,ALB,Voice and Accountability: Number of Sources,VA.NO.SRC,10
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,51.20773
Albania,ALB,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,40.09662
Albania,ALB,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,57.00483
Albania,ALB,Voice and Accountability: Standard Error,VA.STD.ERR,0.1249173
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.6418455
Algeria,DZA,Control of Corruption: Number of Sources,CC.NO.SRC,8
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,28.36539
Algeria,DZA,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,17.78846
Algeria,DZA,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,41.34615
Algeria,DZA,Control of Corruption: Standard Error,CC.STD.ERR,0.1748093
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.5258437
Algeria,DZA,Government Effectiveness: Number of Sources,GE.NO.SRC,8
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,33.65385
Algeria,DZA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,17.30769
Algeria,DZA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,46.63462
Algeria,DZA,Government Effectiveness: Standard Error,GE.STD.ERR,0.2276689
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8601653
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,5
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,17.45283
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,10.84906
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,28.77358
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.2437513
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-1.291494
Algeria,DZA,Regulatory Quality: Number of Sources,RQ.NO.SRC,6
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,9.134615
Algeria,DZA,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,3.846154
Algeria,DZA,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,15.38461
Algeria,DZA,Regulatory Quality: Standard Error,RQ.STD.ERR,0.2213361
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.7803177
Algeria,DZA,Rule of Law: Number of Sources,RL.NO.SRC,10
Algeria,DZA,Rule of Law: Percentile Rank,RL.PER.RNK,21.63461
Algeria,DZA,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,13.94231
Algeria,DZA,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,33.17308
Algeria,DZA,Rule of Law: Standard Error,RL.STD.ERR,0.1583513
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-1.102139
Algeria,DZA,Voice and Accountability: Number of Sources,VA.NO.SRC,10
Algeria,DZA,Voice and Accountability: Percentile Rank,VA.PER.RNK,18.35749
Algeria,DZA,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,13.04348
Algeria,DZA,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,22.70531
Algeria,DZA,Voice and Accountability: Standard Error,VA.STD.ERR,0.1266871
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,1.314374
American Samoa,ASM,Control of Corruption: Number of Sources,CC.NO.SRC,1
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,88.94231
American Samoa,ASM,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,74.51923
American Samoa,ASM,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,95.19231
American Samoa,ASM,Control of Corruption: Standard Error,CC.STD.ERR,0.3799984
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.6968508
American Samoa,ASM,Government Effectiveness: Number of Sources,GE.NO.SRC,1
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,74.51923
American Samoa,ASM,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,49.03846
American Samoa,ASM,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,90.86539
American Samoa,ASM,Government Effectiveness: Standard Error,GE.STD.ERR,0.491762
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.169803
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,2
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,92.45283
American Samoa,ASM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,65.56604
American Samoa,ASM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,99.52831
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3399872
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,0.542098
American Samoa,ASM,Regulatory Quality: Number of Sources,RQ.NO.SRC,1
American Samoa,ASM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,71.63461
American Samoa,ASM,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,40.38462
American Samoa,ASM,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,90.38461
American Samoa,ASM,Regulatory Quality: Standard Error,RQ.STD.ERR,0.5132518
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.193629
American Samoa,ASM,Rule of Law: Number of Sources,RL.NO.SRC,1
American Samoa,ASM,Rule of Law: Percentile Rank,RL.PER.RNK,86.05769
American Samoa,ASM,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,62.98077
American Samoa,ASM,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,99.51923
American Samoa,ASM,Rule of Law: Standard Error,RL.STD.ERR,0.5285065
American Samoa,ASM,Voice and Accountability: Estimate,VA.EST,1.056903
American Samoa,ASM,Voice and Accountability: Number of Sources,VA.NO.SRC,1
American Samoa,ASM,Voice and Accountability: Percentile Rank,VA.PER.RNK,81.64251
American Samoa,ASM,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,45.89372
American Samoa,ASM,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,100
American Samoa,ASM,Voice and Accountability: Standard Error,VA.STD.ERR,0.6365679
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.314374
Andorra,AND,Control of Corruption: Number of Sources,CC.NO.SRC,1
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,88.94231
Andorra,AND,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,74.51923
Andorra,AND,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,95.19231
Andorra,AND,Control of Corruption: Standard Error,CC.STD.ERR,0.3799984
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.825594
Andorra,AND,Government Effectiveness: Number of Sources,GE.NO.SRC,1
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,96.63461
Andorra,AND,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,80.76923
Andorra,AND,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,100
Andorra,AND,Government Effectiveness: Standard Error,GE.STD.ERR,0.491762
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.618512
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,3
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,99.0566
Andorra,AND,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,91.03773
Andorra,AND,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,100
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.290409
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.339709
Andorra,AND,Regulatory Quality: Number of Sources,RQ.NO.SRC,1
Andorra,AND,Regulatory Quality: Percentile Rank,RQ.PER.RNK,88.46154
Andorra,AND,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,67.78846
Andorra,AND,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,99.51923
Andorra,AND,Regulatory Quality: Standard Error,RQ.STD.ERR,0.5132518
Andorra,AND,Rule of Law: Estimate,RL.EST,1.698638
Andorra,AND,Rule of Law: Number of Sources,RL.NO.SRC,1
Andorra,AND,Rule of Law: Percentile Rank,RL.PER.RNK,93.26923
Andorra,AND,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,76.44231
Andorra,AND,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,100
Andorra,AND,Rule of Law: Standard Error,RL.STD.ERR,0.5285065
Andorra,AND,Voice and Accountability: Estimate,VA.EST,1.089068
Andorra,AND,Voice and Accountability: Number of Sources,VA.NO.SRC,2
Andorra,AND,Voice and Accountability: Percentile Rank,VA.PER.RNK,83.57488
Andorra,AND,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,70.04831
Andorra,AND,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,95.65218
Andorra,AND,Voice and Accountability: Standard Error,VA.STD.ERR,0.2239042
Angola,AGO,Control of Corruption: Estimate,CC.EST,-0.9270931
Angola,AGO,Control of Corruption: Number of Sources,CC.NO.SRC,10
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,18.26923
Angola,AGO,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,11.53846
Angola,AGO,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,26.92308
Angola,AGO,Control of Corruption: Standard Error,CC.STD.ERR,0.1559415
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.181797
Angola,AGO,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,11.05769
Angola,AGO,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,5.288462
Angola,AGO,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,18.26923
Angola,AGO,Government Effectiveness: Standard Error,GE.STD.ERR,0.2021491
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.520679
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,26.88679
Angola,AGO,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,16.50943
Angola,AGO,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,41.98113
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.2248572
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-0.9085017
Angola,AGO,Regulatory Quality: Number of Sources,RQ.NO.SRC,9
Angola,AGO,Regulatory Quality: Percentile Rank,RQ.PER.RNK,15.86539
Angola,AGO,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,9.615385
Angola,AGO,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,30.28846
Angola,AGO,Regulatory Quality: Standard Error,RQ.STD.ERR,0.1936392
Angola,AGO,Rule of Law: Estimate,RL.EST,-0.9631715
Angola,AGO,Rule of Law: Number of Sources,RL.NO.SRC,11
Angola,AGO,Rule of Law: Percentile Rank,RL.PER.RNK,16.82692
Angola,AGO,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,9.615385
Angola,AGO,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,24.51923
Angola,AGO,Rule of Law: Standard Error,RL.STD.ERR,0.1475931
Angola,AGO,Voice and Accountability: Estimate,VA.EST,-0.8106282
Angola,AGO,Voice and Accountability: Number of Sources,VA.NO.SRC,11
Angola,AGO,Voice and Accountability: Percentile Rank,VA.PER.RNK,25.60386
Angola,AGO,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,20.28986
Angola,AGO,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,30.43478
Angola,AGO,Voice and Accountability: Standard Error,VA.STD.ERR,0.1246126
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,0.6787988
Anguilla,AIA,Control of Corruption: Number of Sources,CC.NO.SRC,1
Anguilla,AIA,Control of Corruption: Percentile Rank,CC.PER.RNK,74.51923
Anguilla,AIA,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,58.17308
Anguilla,AIA,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,87.01923
Anguilla,AIA,Control of Corruption: Standard Error,CC.STD.ERR,0.3799984
Anguilla,AIA,Government Effectiveness: Estimate,GE.EST,0.9790366
Anguilla,AIA,Government Effectiveness: Number of Sources,GE.NO.SRC,1
Anguilla,AIA,Government Effectiveness: Percentile Rank,GE.PER.RNK,80.28846
Anguilla,AIA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,60.57692
Anguilla,AIA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,95.67308
Anguilla,AIA,Government Effectiveness: Standard Error,GE.STD.ERR,0.491762
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.540881
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,2
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,98.58491
Anguilla,AIA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,84.43396
Anguilla,AIA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,100
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3178318
Anguilla,AIA,Regulatory Quality: Estimate,RQ.EST,0.9409034
Anguilla,AIA,Regulatory Quality: Number of Sources,RQ.NO.SRC,1
Anguilla,AIA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,79.80769
Anguilla,AIA,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,56.25
Anguilla,AIA,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,96.63461
Anguilla,AIA,Regulatory Quality: Standard Error,RQ.STD.ERR,0.5132518
Anguilla,AIA,Rule of Law: Estimate,RL.EST,0.4361146
Anguilla,AIA,Rule of Law: Number of Sources,RL.NO.SRC,1
Anguilla,AIA,Rule of Law: Percentile Rank,RL.PER.RNK,64.90385
Anguilla,AIA,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,35.57692
Anguilla,AIA,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,87.01923
Anguilla,AIA,Rule of Law: Standard Error,RL.STD.ERR,0.5285065
Anguilla,AIA,Voice and Accountability: Estimate,VA.EST,..
Anguilla,AIA,Voice and Accountability: Number of Sources,VA.NO.SRC,..
Anguilla,AIA,Voice and Accountability: Percentile Rank,VA.PER.RNK,..
Anguilla,AIA,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,..
Anguilla,AIA,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,..
Anguilla,AIA,Voice and Accountability: Standard Error,VA.STD.ERR,..
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.2752807
Antigua and Barbuda,ATG,Control of Corruption: Number of Sources,CC.NO.SRC,2
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,63.46154
Antigua and Barbuda,ATG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,49.03846
Antigua and Barbuda,ATG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,74.51923
Antigua and Barbuda,ATG,Control of Corruption: Standard Error,CC.STD.ERR,0.2525304
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,-0.149707
Antigua and Barbuda,ATG,Government Effectiveness: Number of Sources,GE.NO.SRC,1
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,47.11538
Antigua and Barbuda,ATG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,15.38461
Antigua and Barbuda,ATG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,72.59615
Antigua and Barbuda,ATG,Government Effectiveness: Standard Error,GE.STD.ERR,0.491762
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9338933
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,80.18868
Antigua and Barbuda,ATG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,60.84906
Antigua and Barbuda,ATG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,96.69811
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.2812695
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.5125659
Antigua and Barbuda,ATG,Regulatory Quality: Number of Sources,RQ.NO.SRC,2
Antigua and Barbuda,ATG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,69.23077
Antigua and Barbuda,ATG,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,49.51923
Antigua and Barbuda,ATG,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,83.65385
Antigua and Barbuda,ATG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.3687361
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.4520202
Antigua and Barbuda,ATG,Rule of Law: Number of Sources,RL.NO.SRC,3
Antigua and Barbuda,ATG,Rule of Law: Percentile Rank,RL.PER.RNK,66.34615
Antigua and Barbuda,ATG,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,50
Antigua and Barbuda,ATG,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,82.69231
Antigua and Barbuda,ATG,Rule of Law: Standard Error,RL.STD.ERR,0.3387839
